destinacija,datum,druzba,letalo,cas
Agadir,"(1, 11, 2022, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(5, 11, 2022, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(8, 11, 2022, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(12, 11, 2022, 'SOB')",Ryanair,FR 3504,3:40
Agadir,"(15, 11, 2022, 'TOR')",Ryanair,FR 3504,3:40
Agadir,"(19, 11, 2022, 'SOB')",Ryanair,FR 3504,3:40
Agadir,"(22, 11, 2022, 'TOR')",Ryanair,FR 3504,3:40
Agadir,"(26, 11, 2022, 'SOB')",Ryanair,FR 3504,3:40
Agadir,"(29, 11, 2022, 'TOR')",Ryanair,FR 3504,3:40
Agadir,"(3, 12, 2022, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(6, 12, 2022, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(10, 12, 2022, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(13, 12, 2022, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(17, 12, 2022, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(20, 12, 2022, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(24, 12, 2022, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(27, 12, 2022, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(31, 12, 2022, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(3, 1, 2023, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(7, 1, 2023, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(10, 1, 2023, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(14, 1, 2023, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(17, 1, 2023, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(21, 1, 2023, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(24, 1, 2023, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(28, 1, 2023, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(31, 1, 2023, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(4, 2, 2023, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(7, 2, 2023, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(11, 2, 2023, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(14, 2, 2023, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(18, 2, 2023, 'SOB')",Ryanair,FR 3504,3:40
Agadir,"(21, 2, 2023, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(25, 2, 2023, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(28, 2, 2023, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(4, 3, 2023, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(7, 3, 2023, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(11, 3, 2023, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(14, 3, 2023, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(18, 3, 2023, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(21, 3, 2023, 'TOR')",Ryanair,FR 3504,2:40
Agadir,"(25, 3, 2023, 'SOB')",Ryanair,FR 3504,2:40
Agadir,"(27, 3, 2023, 'PON')",Ryanair,FR 3273,2:40
Agadir,"(30, 3, 2023, 'CET')",Ryanair,FR 3273,2:40
Alessandria,"(6, 11, 2022, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(13, 11, 2022, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(20, 11, 2022, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(27, 11, 2022, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(4, 12, 2022, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(11, 12, 2022, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(18, 12, 2022, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(25, 12, 2022, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(1, 1, 2023, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(8, 1, 2023, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(15, 1, 2023, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(22, 1, 2023, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(29, 1, 2023, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(5, 2, 2023, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(12, 2, 2023, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(19, 2, 2023, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(26, 2, 2023, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(5, 3, 2023, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(12, 3, 2023, 'NED')",Air Arabia Egypt,E5  104,4:30
Alessandria,"(19, 3, 2023, 'NED')",Air Arabia Egypt,E5  104,4:30
Alghero,"(1, 11, 2022, 'TOR')",Ryanair,FR 4708,1:15
Alghero,"(2, 11, 2022, 'SRE')",Ryanair,FR 4708,1:15
Alghero,"(4, 11, 2022, 'PET')",Ryanair,FR 4708,1:15
Alghero,"(5, 11, 2022, 'SOB')",Ryanair,FR 4708,1:15
Alghero,"(6, 11, 2022, 'NED')",Ryanair,FR 4708,1:15
Alghero,"(7, 11, 2022, 'PON')",Ryanair,FR 4708,1:15
Alghero,"(8, 11, 2022, 'TOR')",Ryanair,FR 4708,1:15
Alghero,"(9, 11, 2022, 'SRE')",Ryanair,FR 4708,1:15
Alghero,"(11, 11, 2022, 'PET')",Ryanair,FR 4708,1:15
Alghero,"(12, 11, 2022, 'SOB')",Ryanair,FR 4708,1:15
Alghero,"(13, 11, 2022, 'NED')",Ryanair,FR 4708,1:15
Alghero,"(14, 11, 2022, 'PON')",Ryanair,FR 4708,1:15
Alghero,"(15, 11, 2022, 'TOR')",Ryanair,FR 4708,1:15
Alghero,"(16, 11, 2022, 'SRE')",Ryanair,FR 4708,1:15
