id,destinacija,datum,dan,cas
v1,Amman,2/11/2022,SRE,5:10
v2,Amman,9/11/2022,SRE,5:10
v3,Amman,16/11/2022,SRE,5:10
v4,Amman,23/11/2022,SRE,5:10
v5,Amman,30/11/2022,SRE,5:10
v6,Amman,7/12/2022,SRE,5:10
v7,Amman,14/12/2022,SRE,5:10
v8,Amman,21/12/2022,SRE,5:10
v9,Amman,28/12/2022,SRE,5:10
v10,Amman,4/1/2023,SRE,5:10
v11,Amman,11/1/2023,SRE,5:10
v12,Amman,18/1/2023,SRE,5:10
v13,Amman,25/1/2023,SRE,5:10
v14,Amman,1/2/2023,SRE,5:10
v15,Amman,8/2/2023,SRE,5:10
v16,Amman,15/2/2023,SRE,5:10
v17,Amman,22/2/2023,SRE,5:10
v18,Amman,1/3/2023,SRE,5:10
v19,Amman,8/3/2023,SRE,5:10
v20,Amman,15/3/2023,SRE,5:10
v21,Amman,22/3/2023,SRE,5:10
v22,Amman,6/11/2022,NED,5:10
v23,Amman,13/11/2022,NED,5:10
v24,Amman,20/11/2022,NED,5:10
v25,Amman,27/11/2022,NED,5:10
v26,Amman,4/12/2022,NED,5:10
v27,Amman,11/12/2022,NED,5:10
v28,Amman,18/12/2022,NED,5:10
v29,Amman,25/12/2022,NED,5:10
v30,Amman,1/1/2023,NED,5:10
v31,Amman,8/1/2023,NED,5:10
v32,Amman,15/1/2023,NED,5:10
v33,Amman,22/1/2023,NED,5:10
v34,Amman,29/1/2023,NED,5:10
v35,Amman,5/2/2023,NED,5:10
v36,Amman,12/2/2023,NED,5:10
v37,Amman,19/2/2023,NED,5:10
v38,Amman,26/2/2023,NED,5:10
v39,Amman,5/3/2023,NED,5:10
v40,Amman,12/3/2023,NED,5:10
v41,Amman,19/3/2023,NED,5:10
v42,Amsterdam,5/11/2022,SOB,2:0
v43,Amsterdam,12/11/2022,SOB,2:0
v44,Amsterdam,19/11/2022,SOB,2:0
v45,Amsterdam,26/11/2022,SOB,2:0
v46,Amsterdam,7/11/2022,PON,2:0
v47,Amsterdam,14/11/2022,PON,2:0
v48,Amsterdam,21/11/2022,PON,2:0
v49,Amsterdam,28/11/2022,PON,2:0
v50,Amsterdam,5/12/2022,PON,2:0
v51,Amsterdam,12/12/2022,PON,2:0
v52,Amsterdam,19/12/2022,PON,2:0
v53,Amsterdam,26/12/2022,PON,2:0
v54,Amsterdam,2/1/2023,PON,2:0
v55,Amsterdam,9/1/2023,PON,2:0
v56,Amsterdam,16/1/2023,PON,2:0
v57,Amsterdam,23/1/2023,PON,2:0
v58,Amsterdam,30/1/2023,PON,2:0
v59,Amsterdam,6/2/2023,PON,2:0
v60,Amsterdam,13/2/2023,PON,2:0
v61,Amsterdam,20/2/2023,PON,2:0
