id;destinacija;Aiport;Država
b1;Agadir;Bergamo;Maroko
b2;Agadir;Bergamo;Maroko
b3;Agadir;Bergamo;Maroko
b4;Agadir;Bergamo;Maroko
b5;Agadir;Bergamo;Maroko
b6;Agadir;Bergamo;Maroko
b7;Agadir;Bergamo;Maroko
b8;Agadir;Bergamo;Maroko
b9;Agadir;Bergamo;Maroko
b10;Agadir;Bergamo;Maroko
b11;Agadir;Bergamo;Maroko
b12;Agadir;Bergamo;Maroko
b13;Agadir;Bergamo;Maroko
b14;Agadir;Bergamo;Maroko
b15;Agadir;Bergamo;Maroko
b16;Agadir;Bergamo;Maroko
b17;Agadir;Bergamo;Maroko
b18;Agadir;Bergamo;Maroko
b19;Agadir;Bergamo;Maroko
b20;Agadir;Bergamo;Maroko
b21;Agadir;Bergamo;Maroko
b22;Agadir;Bergamo;Maroko
b23;Agadir;Bergamo;Maroko
b24;Agadir;Bergamo;Maroko
b25;Agadir;Bergamo;Maroko
b26;Agadir;Bergamo;Maroko
b27;Agadir;Bergamo;Maroko
b28;Agadir;Bergamo;Maroko
b29;Agadir;Bergamo;Maroko
b30;Agadir;Bergamo;Maroko
b31;Agadir;Bergamo;Maroko
b32;Agadir;Bergamo;Maroko
b33;Agadir;Bergamo;Maroko
b34;Agadir;Bergamo;Maroko
b35;Agadir;Bergamo;Maroko
b36;Agadir;Bergamo;Maroko
b37;Agadir;Bergamo;Maroko
b38;Agadir;Bergamo;Maroko
b39;Agadir;Bergamo;Maroko
b40;Agadir;Bergamo;Maroko
b41;Agadir;Bergamo;Maroko
b42;Agadir;Bergamo;Maroko
b43;Agadir;Bergamo;Maroko
b44;Agadir;Bergamo;Maroko
b45;Alessandria;Bergamo;Egipt
b46;Alessandria;Bergamo;Egipt
b47;Alessandria;Bergamo;Egipt
b48;Alessandria;Bergamo;Egipt
b49;Alessandria;Bergamo;Egipt
b50;Alessandria;Bergamo;Egipt
b51;Alessandria;Bergamo;Egipt
b52;Alessandria;Bergamo;Egipt
b53;Alessandria;Bergamo;Egipt
b54;Alessandria;Bergamo;Egipt
b55;Alessandria;Bergamo;Egipt
b56;Alessandria;Bergamo;Egipt
b57;Alessandria;Bergamo;Egipt
b58;Alessandria;Bergamo;Egipt
b59;Alessandria;Bergamo;Egipt
b60;Alessandria;Bergamo;Egipt
b61;Alessandria;Bergamo;Egipt
b62;Alessandria;Bergamo;Egipt
b63;Alessandria;Bergamo;Egipt
b64;Alessandria;Bergamo;Egipt
b65;Alghero;Bergamo;Italija
b66;Alghero;Bergamo;Italija
b67;Alghero;Bergamo;Italija
b68;Alghero;Bergamo;Italija
b69;Alghero;Bergamo;Italija
b70;Alghero;Bergamo;Italija
b71;Alghero;Bergamo;Italija
b72;Alghero;Bergamo;Italija
b73;Alghero;Bergamo;Italija
b74;Alghero;Bergamo;Italija
b75;Alghero;Bergamo;Italija
b76;Alghero;Bergamo;Italija
b77;Alghero;Bergamo;Italija
b78;Alghero;Bergamo;Italija
b79;Alghero;Bergamo;Italija
b80;Alghero;Bergamo;Italija
b81;Alghero;Bergamo;Italija
b82;Alghero;Bergamo;Italija
b83;Alghero;Bergamo;Italija
b84;Alghero;Bergamo;Italija
b85;Alghero;Bergamo;Italija
b86;Alghero;Bergamo;Italija
b87;Alghero;Bergamo;Italija
b88;Alghero;Bergamo;Italija
b89;Alghero;Bergamo;Italija
b90;Alghero;Bergamo;Italija
b91;Alghero;Bergamo;Italija
b92;Alghero;Bergamo;Italija
b93;Alghero;Bergamo;Italija
b94;Alghero;Bergamo;Italija
b95;Alghero;Bergamo;Italija
b96;Alghero;Bergamo;Italija
b97;Alghero;Bergamo;Italija
b98;Alghero;Bergamo;Italija
b99;Alghero;Bergamo;Italija
b100;Alghero;Bergamo;Italija
b101;Alghero;Bergamo;Italija
b102;Alghero;Bergamo;Italija
b103;Alghero;Bergamo;Italija
b104;Alghero;Bergamo;Italija
b105;Alghero;Bergamo;Italija
b106;Alghero;Bergamo;Italija
b107;Alghero;Bergamo;Italija
b108;Alghero;Bergamo;Italija
b109;Alghero;Bergamo;Italija
b110;Alghero;Bergamo;Italija
b111;Alghero;Bergamo;Italija
b112;Alghero;Bergamo;Italija
b113;Alghero;Bergamo;Italija
b114;Alghero;Bergamo;Italija
b115;Alghero;Bergamo;Italija
b116;Alghero;Bergamo;Italija
b117;Alghero;Bergamo;Italija
b118;Alghero;Bergamo;Italija
b119;Alghero;Bergamo;Italija
b120;Alghero;Bergamo;Italija
b121;Alghero;Bergamo;Italija
b122;Alghero;Bergamo;Italija
b123;Alghero;Bergamo;Italija
b124;Alghero;Bergamo;Italija
b125;Alghero;Bergamo;Italija
b126;Alghero;Bergamo;Italija
b127;Alghero;Bergamo;Italija
b128;Alghero;Bergamo;Italija
b129;Alghero;Bergamo;Italija
b130;Alghero;Bergamo;Italija
b131;Alghero;Bergamo;Italija
b132;Alghero;Bergamo;Italija
b133;Alghero;Bergamo;Italija
b134;Alghero;Bergamo;Italija
b135;Alghero;Bergamo;Italija
b136;Alghero;Bergamo;Italija
b137;Alghero;Bergamo;Italija
b138;Alghero;Bergamo;Italija
b139;Alghero;Bergamo;Italija
b140;Alghero;Bergamo;Italija
b141;Alghero;Bergamo;Italija
b142;Alghero;Bergamo;Italija
b143;Alghero;Bergamo;Italija
b144;Alghero;Bergamo;Italija
b145;Alghero;Bergamo;Italija
b146;Alghero;Bergamo;Italija
b147;Alghero;Bergamo;Italija
b148;Alghero;Bergamo;Italija
b149;Alghero;Bergamo;Italija
b150;Alghero;Bergamo;Italija
b151;Alghero;Bergamo;Italija
b152;Alghero;Bergamo;Italija
b153;Alghero;Bergamo;Italija
b154;Alghero;Bergamo;Italija
b155;Alghero;Bergamo;Italija
b156;Alghero;Bergamo;Italija
b157;Alghero;Bergamo;Italija
b158;Alghero;Bergamo;Italija
b159;Alghero;Bergamo;Italija
b160;Alghero;Bergamo;Italija
b161;Alghero;Bergamo;Italija
b162;Alghero;Bergamo;Italija
b163;Alghero;Bergamo;Italija
b164;Alghero;Bergamo;Italija
b165;Alghero;Bergamo;Italija
b166;Alghero;Bergamo;Italija
b167;Alghero;Bergamo;Italija
b168;Alghero;Bergamo;Italija
b169;Alghero;Bergamo;Italija
b170;Alghero;Bergamo;Italija
b171;Alghero;Bergamo;Italija
b172;Alghero;Bergamo;Italija
b173;Alghero;Bergamo;Italija
b174;Alghero;Bergamo;Italija
b175;Alghero;Bergamo;Italija
b176;Alghero;Bergamo;Italija
b177;Alghero;Bergamo;Italija
b178;Alghero;Bergamo;Italija
b179;Alghero;Bergamo;Italija
b180;Alghero;Bergamo;Italija
b181;Alghero;Bergamo;Italija
b182;Alghero;Bergamo;Italija
b183;Alghero;Bergamo;Italija
b184;Alghero;Bergamo;Italija
b185;Alghero;Bergamo;Italija
b186;Alghero;Bergamo;Italija
b187;Alghero;Bergamo;Italija
b188;Alghero;Bergamo;Italija
b189;Alghero;Bergamo;Italija
b190;Alghero;Bergamo;Italija
b191;Alghero;Bergamo;Italija
b192;Alghero;Bergamo;Italija
b193;Alghero;Bergamo;Italija
b194;Alghero;Bergamo;Italija
b195;Alghero;Bergamo;Italija
b196;Alghero;Bergamo;Italija
b197;Alicante;Bergamo;Španija
b198;Alicante;Bergamo;Španija
b199;Alicante;Bergamo;Španija
b200;Alicante;Bergamo;Španija
b201;Alicante;Bergamo;Španija
b202;Alicante;Bergamo;Španija
b203;Alicante;Bergamo;Španija
b204;Alicante;Bergamo;Španija
b205;Alicante;Bergamo;Španija
b206;Alicante;Bergamo;Španija
b207;Alicante;Bergamo;Španija
b208;Alicante;Bergamo;Španija
b209;Alicante;Bergamo;Španija
b210;Alicante;Bergamo;Španija
b211;Alicante;Bergamo;Španija
b212;Alicante;Bergamo;Španija
b213;Alicante;Bergamo;Španija
b214;Alicante;Bergamo;Španija
b215;Alicante;Bergamo;Španija
b216;Alicante;Bergamo;Španija
b217;Alicante;Bergamo;Španija
b218;Alicante;Bergamo;Španija
b219;Alicante;Bergamo;Španija
